drugpubchemblsubstance;pubchemblsubstance_detail
1477;46507776
1478;46507634
1479;46507938
1480;46507147
1481;46507482
1482;46506728
1483;46504659
1484;46508254
1485;46507901
1486;46507523
1487;46508232
1488;46504992
1489;46508077
1490;46509109
1491;46509073
1492;46505129
1493;46508355
1494;46507910
1495;46508045
1496;46507112
1497;46505375
1498;46505920
1499;46507570
1500;46506804
1501;46506330
1502;46508075
1503;46506248
1504;46506189
1505;46504477
1506;46507758
1507;46506566
1508;46508759
1509;46507690
1510;46505107
1511;46507207
1512;46507524
1513;46506152
1514;46508384
1515;46504973
1516;46506745
1517;46504984
1518;46507488
1519;46506382
1520;46506846
1521;46506751
1522;46507419
1523;46507023
1524;46507201
1525;46507791
1526;46507361
1527;46507893
1528;46506717
1529;46505235
1530;46504933
1531;46504923
1532;46505486
1533;46506116
1534;46505901
1535;46506242
1536;46508635
1537;46505893
1538;46504827
1539;46505118
1540;46508430
1541;46505775
1542;46506581
1543;46507026
1544;46505017
1545;46507793
1546;46504924
1547;46505506
1548;46508140
1549;46504690
1550;46508760
1551;46507166
1552;46506914
1553;46504574
1554;46505942
1555;46508294
1556;46508870
1557;46508788
1558;46504465
1559;46506661
1560;46505369
1561;46505771
1562;46508910
1563;46505435
1564;46505998
1565;46505990
1566;46506816
1567;46507698
1568;46505275
1569;46507597
1570;46506840
1571;46504495
1572;46506592
1573;46506094
1574;46506239
1575;46508659
1576;46506617
1577;46508349
1578;46507369
1579;46507568
1580;46507502
1581;46504615
1582;46506217
1583;46506919
1584;46508492
1585;46507481
1586;46505732
1587;46507789
1588;46505480
1589;46505891
1590;46508124
1591;46508622
1592;46504739
1593;46505206
1594;46508610
1595;46507727
1596;46506300
1597;46505500
1598;46504613
1599;46507491
1600;46507575
1601;46507687
1602;46504749
1603;46506503
1604;46505994
1605;46506660
1606;46506319
1607;46504455
1608;46505410
1609;46507987
1610;46508814
1611;46507661
1612;46506304
1613;46506758
1614;46506833
1615;46506410
1616;46504468
1617;46508489
1618;46504875
1619;46504944
1620;46505673
1621;46507714
1622;46506790
1623;46504581
1624;46508130
1625;46506633
1626;46506011
1627;46505327
1628;46508676
1629;46504935
1630;46504474
1631;46506949
1632;46505661
1633;46504896
1634;46505900
1635;46508366
1636;46507649
1637;46505590
1638;46506571
1639;46508258
1640;46507169
1641;46507064
1642;46505272
1643;46506418
1644;46505020
1645;46507517
1646;46508006
1647;46504569
1648;46504693
1649;46504792
1650;46504921
1651;46508195
1652;46506673
1653;46504531
1654;46507470
1655;46507437
1656;46508665
1657;46508903
1658;46508786
1659;46504842
1660;46507173
1661;46504554
