association_id;atc_id_id;drug_id_id
23743;N01AF03;DB00599
23744;N05CB01;DB00599
23745;N05CA19;DB00599
23746;D11AX13;DB00600
23747;J01XX08;DB00601
23748;P02CF01;DB00602
23749;D11AX22;DB00602
23750;G03AA08;DB00603
23751;G03DA02;DB00603
23752;G03FB06;DB00603
23753;G03FA12;DB00603
23754;L02AB02;DB00603
23755;G03AA17;DB00603
23756;G03AC06;DB00603
23757;A03FA02;DB00604
23758;M01AB02;DB00605
23759;G01AE10;DB00606
23760;C03AB09;DB00606
23761;C03AA09;DB00606
23762;J01CR50;DB00607
23763;J01CF06;DB00607
23764;P01BA01;DB00608
23765;C01CA09;DB00610
23766;N02AF01;DB00611
23767;C07FX04;DB00612
23768;C07BB07;DB00612
23769;C07AB07;DB00612
23770;C09BX02;DB00612
23771;C09BX04;DB00612
23772;C07FB07;DB00612
23773;P01BF03;DB00613
23774;P01BA06;DB00613
